VisitorID;Proj_Group;Proj_Segment;Proj_Type;Visitor_Group;Visitor_Gender;Question_Age;Question_Budget;Question_HHIncome;Question_InstallmentMonthly;Question_MarriageStatus;Question_Nationality;Question_Occupation;Question_P_Income;Question_TimeToMoveIn;Target
13915;3;2;1;5;0;2;29;54288;32119;1;2;0;2;5;0
46452;3;2;1;5;1;3;28;31914;32119;1;2;0;1;5;0
88611;1;1;1;3;0;7;37;79847;32119;2;2;3;12;5;0
83971;4;1;0;3;1;1;10;7293;17052;2;2;0;12;5;0
33949;3;1;1;5;1;2;31;42341;32119;3;2;0;12;5;0
112248;1;3;0;3;1;7;37;79847;32119;2;2;3;12;5;0
105406;4;3;1;2;1;3;24;11729;32119;1;2;1;12;5;0
23873;4;2;1;5;0;1;29;67117;32119;0;2;2;9;5;0
22919;3;1;1;5;0;5;30;15291;32119;1;2;1;2;5;0
97753;4;3;1;3;1;0;31;51059;12985;3;2;1;12;5;0
93267;3;0;1;0;1;1;12;57088;2778;1;2;1;12;5;0
56059;4;1;1;3;0;3;30;46166;32119;1;2;0;4;5;0
73621;3;1;1;3;0;3;28;77529;32119;3;2;1;12;5;0
10671;3;2;1;0;1;1;28;23353;32119;3;2;1;6;5;0
1081;3;0;1;2;0;3;5;12630;32119;1;2;1;2;5;0
43652;1;2;0;3;0;1;24;36201;26680;2;2;2;5;5;0
56122;4;1;1;5;1;1;32;79847;32119;0;2;4;12;5;0
7499;3;2;1;5;1;0;28;18394;9694;3;2;0;9;4;0
16747;3;3;0;3;2;7;10;79847;32119;2;2;3;12;5;0
65849;4;3;1;2;0;0;29;22046;12840;3;2;4;12;5;0
53547;3;3;1;5;0;1;32;32965;32119;1;2;0;0;5;0
25504;3;2;1;3;1;2;24;45698;32119;0;2;0;0;5;0
58908;4;3;1;5;0;1;29;10680;32119;3;2;0;1;5;0
66713;3;2;1;5;0;1;28;19740;32119;1;2;3;10;5;0
57691;4;2;1;2;1;0;32;11396;32119;1;2;0;1;5;0
52859;3;3;1;3;1;0;24;12456;32119;0;2;0;11;5;0
12687;3;1;1;2;0;6;35;48802;32119;3;2;0;10;5;0
65605;3;3;1;3;0;7;28;50258;32118;1;2;1;12;5;0
100710;1;3;1;2;0;1;17;23498;11128;0;2;0;12;5;0
100909;1;2;0;4;1;4;17;40516;8027;1;0;1;12;5;1
100395;2;1;0;3;1;3;37;79847;32119;2;1;3;12;5;0
66352;3;3;1;5;1;1;28;30093;19923;3;2;0;12;5;0
60529;3;1;1;5;0;5;37;64618;32119;1;2;4;5;5;0
89890;3;3;1;3;0;7;37;79847;32119;2;2;3;12;5;0
100177;3;1;1;5;1;1;4;68418;2020;0;0;1;12;5;0
29494;3;1;1;3;1;1;28;20603;32119;3;2;1;10;5;0
63587;3;1;1;5;0;7;3;79847;32119;1;2;3;12;5;0
100986;1;3;0;2;0;4;17;23869;8664;0;0;0;12;5;1
114545;1;1;1;3;0;4;24;15266;32119;1;2;4;10;5;0
9620;4;2;1;5;0;6;17;34809;32119;3;2;1;0;5;0
26472;4;1;0;3;1;7;37;79847;32119;2;2;3;12;5;0
