VisitorID;Proj_Group;Proj_Segment;Proj_Type;Visitor_Group;Visitor_Gender;Question_Age;Question_Budget;Question_HHIncome;Question_InstallmentMonthly;Question_MarriageStatus;Question_Nationality;Question_Occupation;Question_P_Income;Question_TimeToMoveIn;Target
105280;Major;B;Standard Units;;F;36 - 40;4,5;311933;;Married with Children;;Business Owner;95000;;0
118095;Major;C;Premium Units;;F;;3,5;;;;India;;;;0
85645;Outer;B;Standard Units;Major;F;25 - 30;8,5;247019;Cash;Single;;Business Owner;;;0
101674;Major;B;Premium Units;Major;F;51 +;3,5;292311;26154;Married with Children;;Business Owner;;;0
14623;Outer;B;Standard Units;Major;F;< 25;7;205315;;Single;;Business Owner;105000;;0
14562;Outer;B;Standard Units;Major;F;31 - 35;5,5;555890;;Single;;Business Owner;160000;;0
3121;Urban;B;Premium Units;Outer;F;;4,5;;;;;;;;0
107178;Outer;B;Standard Units;Central;F;;;283781;;Married with Children;;;;;0
10310;Outer;A;Standard Units;Outer;F;36 - 40;16;574506;;Married with Children;;Business Owner;185000;;0
3138;Outer;C;Standard Units;Outer;F;;;;;;;;;;0
50968;Major;D;Premium Units;Other;M;;;;;;;;;;1
66381;Outer;B;Standard Units;Outer;F;36 - 40;8;433153;;Married with Children;;Business Owner;120000;;0
74318;Major;B;Premium Units;Major;F;;;;;;India;;;;0
40982;Outer;E;Standard Units;Outer;F;41 - 45;13,5;460962;;Married with Children;;Business Owner;300000;;0
39118;Other;D;Premium Units;Major;F;25 - 30;3,5;186155;25231;Single;;Business Owner;85000;;0
52760;Outer;A;Standard Units;Central;F;46 - 50;13,5;546452;;Married with Children;;Business Employee;;;0
59940;Outer;B;Premium Units;;M;;5,5;;;;;;;;0
64799;Urban;D;Standard Units;Other;F;< 25;2,5;192444;;Single;;Business Employee;;;0
82297;Outer;B;Standard Units;Outer;M;25 - 30;6,5;268698;Cash;Married with Children;;Business Employee;;;0
63058;Urban;D;Standard Units;Major;F;25 - 30;4,5;;;Single;;Business Employee;75000;;0
72276;Major;C;Premium Units;Major;F;31 - 35;2,5;325683;;Married with Children;;Business Owner;;;0
107286;Major;C;Premium Units;;M;;;;;;;;;;0
38869;Outer;C;Standard Units;;F;41 - 45;5,5;156654;;Married with Children;;Business Employee;95000;;0
26813;Outer;B;Standard Units;Outer;M;41 - 45;7;300287;;Single;;Business Employee;140000;;0
44628;Urban;B;Standard Units;;F;36 - 40;16;675884;;Married with Children;;Business Owner;;;0
80724;Major;D;Premium Units;;M;;;;;;;;;;0
94607;Outer;B;Standard Units;;F;36 - 40;10,3;282848;102886;Married with Children;;Business Employee;;;0
507;Outer;B;Standard Units;Outer;F;46 - 50;16;441163;;Married with Children;;Business Owner;300000;;0
62368;Outer;D;Standard Units;Central;M;41 - 45;5,5;206961;;Married;;Business Employee;120000;;0
18548;Outer;C;Standard Units;;F;< 25;5,5;244251;;Single;;Other(Please specify);105000;;0
5958;Outer;A;Standard Units;Outer;M;46 - 50;19,5;210282;123485;Married;;Business Owner;;;0
25142;Outer;B;Standard Units;Outer;F;< 25;7;357914;;Married with Children;;Civil Servant;140000;;0
64766;Outer;C;Standard Units;Outer;F;25 - 30;7,5;197257;65766;Single;;Business Employee;;;0
9507;Outer;C;Standard Units;Outer;M;31 - 35;3,5;208700;;Married;;Business Owner;75000;;0
7766;Major;D;Premium Units;Outer;M;;;;;;;;;;0
42431;Urban;C;Standard Units;;F;< 25;5,5;129761;;Single;;Business Employee;75000;;0
101039;Urban;D;Premium Units;Outer;M;;;;;;;;;;1
53147;Urban;D;Standard Units;Outer;F;25 - 30;5,5;534014;;Married;;Business Owner;225000;;0
50726;Outer;B;Standard Units;;;46 - 50;8;;;Married with Children;;;;;0
67336;Urban;A;Standard Units;Central;M;36 - 40;28,5;490382;;Single;;Business Owner;;;0
